Index,Tag,Atag,Btag,pIC50_MMP12,smiles,A_SortMax,B_SortMax,Final QC Purity,Generation-No,AB-MPS Score,ALogP,Acid pKa 1,Acid pKa 2,Acid pKa 3,Asphericity (3D),Basic pKa 1,Basic pKa 2,Basic pKa 3,Cumulative Charge (7.4),Eccentricity (3D),Formal Charge,Fraction Aromatic,Fraction Csp3,Fraction NO Atoms,Fraction PSA,Fraction Planar,Fractional PolarSASA,Fractional PolarSurfaceArea,Hydrophilic Volume,Hydrophobic Volume,Hydrophobic surface,InertialShapeFactor (3D),Ionization Category (7.4),Ionized Formal Charge,Ionized Number of Negative Atoms,Ionized Number of Positive Atoms,Ionized SMILES,KOWlogP,MPO Score,MPO.PET Score,MPO.v2 Score,Molecular Weight,NPR1 (3D),NPR2 (3D),Neutral SMILES,Number of Acceptor Lone Pairs,Number of Aromatic Atoms,Number of AromaticBonds,Number of AromaticRings,Number of Bonds,Number of C Atoms,Number of Csp3 Atoms,Number of Donor Hydrogens,Number of HAcceptors,Number of HDonors,Number of Heavy Atoms,Number of Heteroatoms,Number of NO Atoms,Number of NonAromaticRings,Number of Planar Ring Atoms,Number of Ring Assemblies,Number of Rings,Number of RotatableBonds,Number of Stereocenters,Ovality,PAMPA Category,PAMPA Comments,PAMPA Predicted value,PBF (3D),PHOSPHOLIPIDOSIS Amphiphilic vector,PHOSPHOLIPIDOSIS Predicted InVitro,PHOSPHOLIPIDOSIS Predicted InVivo,PSA,PolarSASA,PolarSASA (3D),PolarSurfaceArea,Quantitative Estimate of Drug-Likeness (QED),Radius of Gyration,RadiusOfGyration (3D),Rotational Volume,SASA,SASA (3D),SpherocityIndex (3D),SurfaceArea,Total Charge (7.4),Total Surface,Total Volume,Volume (3D),"mlCYP1A2 (HLM,3c)","mlCYP1A2 (HLM,3c) Gdns","mlCYP2C19 (HLM,3c)","mlCYP2C19 (HLM,3c) Gdns","mlCYP2C9 (HLM,3c)","mlCYP2C9 (HLM,3c) Gdns","mlCYP2D6 (HLM,3c)","mlCYP2D6 (HLM,3c) Gdns","mlCYP3A4 (HLM,3c)","mlCYP3A4 (HLM,3c) Gdns","mlClearance (HEP,h3c)","mlClearance (HEP,h3c) Gdns","mlClearance (HEP,m3c)","mlClearance (HEP,m3c) Gdns","mlClearance (MIC,h3c)","mlClearance (MIC,h3c) Gdns","mlClearance (MIC,m3c)","mlClearance (MIC,m3c) Gdns",mlCytotox (HEK293),mlCytotox (HEK293) Uncert,mlGSH (2c),mlGSH (2c) Gdns,mlHERG (2c),mlHERG (2c) Gdns,mlHERG (3c),mlHERG (3c) Gdns,mlLogD,mlLogD Gdns,mlMNT (2c),mlMNT (2c) Gdns,mlPAMPA (2c),mlPAMPA (2c) Gdns,"mlPGP (APER,mouse)","mlPGP (APER,mouse) Gdns",mlPGP (Papp AB),mlPGP (Papp AB) Gdns,mlPGP (h2c),mlPGP (h2c) Gdns,mlPGP (h4c),mlPGP (h4c) Gdns,mlPGP (m2c),mlPGP (m2c) Gdns,mlPGP (m4c),mlPGP (m4c) Gdns,mlPL (2c),mlPL (2c) Gdns,mlPPB (h3c),mlPPB (h3c) Gdns,mlPPB (human),mlPPB (human) Gdns,mlPPB (m3c),mlPPB (m3c) Gdns,mlPPB (mouse),mlPPB (mouse) Gdns,mlPPB (rat),mlPPB (rat) Gdns,mlPS (h3c),mlPS (h3c) Gdns,mlPS (m3c),mlPS (m3c) Gdns,"mlPapp (PGP,3c)","mlPapp (PGP,3c) Gdns","mlPapp (PGP,m3c)","mlPapp (PGP,m3c) Gdns",mlPhototox (2c),mlPhototox (2c) Gdns,mlSolubility (3c),mlSolubility (3c) Gdns,
1351,A28B01,A28,B01,6.4,OC(=O)[C@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c3ccc(cc3)c4ccccc4,27,12,>98,,13.15,4.07,3.83,,,0.63,,,,1,0.99,0,0.7,0.07,0.2,0.22,0.7,0.29,0.27,50.71,298.89,296.75,0,Acidic,-1,1,0,O=C([O-])[C@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(-c2ccccc2)cc1,4.04,3.61,2,2.78,420.48,0.14,0.94,O=C([C@@H](NS(c1ccc(c2ccccc2)cc1)(=O)=O)Cc3c(c4[nH]c3)cccc4)O,6,21,22,4,33,23,2,3,4,3,30,7,6,0,21,3,4,7,1,1.58,low,-,0.49,0.77,NULL,NEGATIVE,NEGATIVE,82.02,181.7,166.11,107.63,0.42,4.63,4.45,,633.88,591.68,0.12,393.86,-1,378.77,349.6,301.15,low (<= 5/50%),fair,low (<= 5/50%),fair,low (<= 5/50%),poor,low (<= 5/50%),good,low (<= 5/50%),fair,medium (3.7-20),poor,medium (5.6-30.5),poor,low (< 12),best,low (< 17.8),fair,4.24,0.4,no flag,poor,inactive (<= 5),fair,weak (<= 5),good,0.85,fair,neg,poor,low,poor,0.27,poor,1.17,fair,low (<= 3),poor,low (2-4),poor,high (>3),poor,medium (4-10),poor,neg,best,high (>= 2),good,2.21,good,high (>= 2),fair,2.22,fair,2.21,poor,high  (>= 80),good,high  (>= 80),good,low (<= 50),good,low (<= 50),best,neg,poor,high (>= 150 ug/ml),fair,
1352,A28B02,A28,B02,6.8,OC(=O)[C@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c3ccc(cc3)c4ccc(Br)cc4,27,5,>98,Gen-1,12.47,4.82,3.83,,,0.79,,,,1,1,0,0.68,0.06,0.19,0.2,0.68,0.27,0.26,50.71,317.94,318.94,0,Acidic,-1,1,0,O=C([O-])[C@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(-c2ccc(Br)cc2)cc1,4.93,2.67,2,1.84,499.38,0.08,0.97,O=C([C@@H](NS(c1ccc(c2ccc(Br)cc2)cc1)(=O)=O)Cc3c(c4[nH]c3)cccc4)O,6,21,22,4,34,23,2,3,4,3,31,8,6,0,21,3,4,7,1,1.61,low,-,0.53,0.75,NULL,NEGATIVE,NEGATIVE,81.95,181.7,165.29,107.63,0.34,4.87,5.49,,666.27,627.89,0.1,419.25,-1,400.9,368.65,327.22,low (<= 5/50%),good,low (<= 5/50%),fair,low (<= 5/50%),poor,low (<= 5/50%),good,low (<= 5/50%),fair,low (< 3.7),poor,medium (5.6-30.5),poor,low (< 12),good,low (< 17.8),fair,4.32,0.44,no flag,poor,inactive (<= 5),poor,weak (<= 5),good,1.53,fair,neg,fair,med2high,poor,0.36,poor,1.17,poor,high (> 3),poor,low (2-4),poor,high (>3),poor,medium (4-10),poor,neg,best,high (>= 2),best,2.32,good,high (>= 2),good,2.32,fair,2.36,best,high  (>= 80),fair,high  (>= 80),good,low (<= 50),good,low (<= 50),best,neg,poor,medium (5 - 150 ug/ml),poor,
1353,A28B03,A28,B03,5.3,OC(=O)[C@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c3ccc(cc3)c4cccc(c4)N(=O)=O,27,16,97,,14.38,3.97,3.83,,,0.66,,,,1,0.99,0,0.64,0.06,0.27,0.3,0.64,0.39,0.35,78.15,295.12,286.23,0,Acidic,-1,2,1,O=C([O-])[C@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(-c2cccc([N+](=O)[O-])c2)cc1,3.86,2.93,2.03,2.1,465.48,0.13,0.96,O=C([C@@H](NS(c1ccc(c2cc([N+]([O-])=O)ccc2)cc1)(=O)=O)Cc3c(c4[nH]c3)cccc4)O,9,21,22,4,36,23,2,3,6,3,33,10,9,0,21,3,4,8,1,1.63,low,charges out of test range,formal charge,-0.18,0.82,NULL,NEGATIVE,NEGATIVE,122.7,254.68,267.89,153.45,0.26,5.06,4.98,,660.76,649.5,0.11,431.74,-1,408.93,373.27,323.79,low (<= 5/50%),good,low (<= 5/50%),fair,low (<= 5/50%),poor,low (<= 5/50%),good,low (<= 5/50%),fair,low (< 3.7),poor,medium (5.6-30.5),poor,low (< 12),best,low (< 17.8),good,4.16,0.32,no flag,poor,inactive (<= 5),good,weak (<= 5),good,0.62,fair,neg,fair,low,fair,0.31,poor,1.1,fair,high (> 3),poor,medium (4-10),poor,high (>3),poor,no (<= 2),poor,neg,best,high (>= 2),good,2.22,good,high (>= 2),fair,2.16,fair,2.2,good,high  (>= 80),fair,high  (>= 80),good,low (<= 50),best,low (<= 50),best,neg,poor,high (>= 150 ug/ml),fair
1354,A28B04,A28,B04,6.9,Cc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)O,27,9,96,,12.7,4.56,3.83,,,0.67,,,,1,0.99,0,0.68,0.1,0.19,0.21,0.68,0.28,0.26,50.71,313.21,313.48,0,Acidic,-1,1,0,Cc1ccc(-c2ccc(S(=O)(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)[O-])cc2)cc1,4.59,3.27,2,2.43,434.51,0.13,0.95,Cc1ccc(c2ccc(S(N[C@H](C(O)=O)Cc3c(c4[nH]c3)cccc4)(=O)=O)cc2)cc1,6,21,22,4,34,24,3,3,4,3,31,7,6,0,21,3,4,7,1,1.6,low,-,0.52,0.75,NULL,NEGATIVE,NEGATIVE,81.93,181.7,165.26,107.64,0.4,4.85,4.67,,653.38,618.85,0.1,415.3,-1,395.42,363.92,317.27,low (<= 5/50%),good,low (<= 5/50%),fair,low (<= 5/50%),poor,low (<= 5/50%),good,low (<= 5/50%),fair,low (< 3.7),poor,medium (5.6-30.5),poor,low (< 12),best,low (< 17.8),fair,4.28,0.43,no flag,poor,inactive (<= 5),good,weak (<= 5),good,1.3,fair,neg,poor,med2high,poor,0.3,poor,1.14,fair,high (> 3),poor,no (<= 2),poor,high (>3),poor,medium (4-10),poor,neg,best,high (>= 2),good,2.22,good,high (>= 2),good,2.26,poor,2.24,fair,high  (>= 80),fair,high  (>= 80),good,low (<= 50),good,low (<= 50),best,neg,poor,medium (5 - 150 ug/ml),poor,
1355,A28B05,A28,B05,5.3,OC(=O)[C@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c3ccc(cc3)c4cccc5c6ccccc6oc45,27,32,94,,14.04,5.58,3.83,,,0.64,,,,1,0.99,0,0.76,0.05,0.19,0.2,0.76,0.27,0.26,55.97,365.38,359.95,0,Acidic,-1,1,0,O=C([O-])[C@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(-c2cccc3c2oc2ccccc23)cc1,5.76,2.17,1.76,1.33,510.56,0.14,0.97,O=C([C@@H](NS(c1ccc(c2c3c(c(c4o3)cccc4)ccc2)cc1)(=O)=O)Cc5c(c6[nH]c5)cccc6)O,7,28,31,6,42,29,2,3,4,3,37,8,7,0,28,3,6,7,1,1.66,low,-,0.56,0.88,NULL,NEGATIVE,NEGATIVE,90.42,198.44,181.12,120.77,0.26,5.4,5.25,,723.5,690.74,0.14,464.51,-1,450.37,421.35,370.43,low (<= 5/50%),good,low (<= 5/50%),poor,medium (5-6/50-90%),poor,low (<= 5/50%),fair,low (<= 5/50%),fair,medium (3.7-20),poor,high (> 30.5),poor,low (< 12),fair,low (< 17.8),poor,4.42,0.49,no flag,poor,inactive (<= 5),good,weak (<= 5),good,1.96,fair,neg,good,low,poor,0.5,poor,1.22,poor,high (> 3),poor,high (>10),poor,high (>3),fair,high (> 10),poor,neg,best,high (>= 2),best,2.42,poor,high (>= 2),good,2.37,fair,2.48,poor,high  (>= 80),good,high  (>= 80),good,low (<= 50),good,low (<= 50),best,pos,poor,medium (5 - 150 ug/ml),poor,
1356,A28B06,A28,B06,5.3,OC(=O)[C@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c3ccc(cc3)c4cccc5Sc6ccccc6Sc45,27,37,96,,12.48,6.48,3.83,,,0.59,,,,1,0.99,0,0.71,0.05,0.16,0.17,0.76,0.31,0.32,50.71,402.29,391.86,0,Acidic,-1,1,0,O=C([O-])[C@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(-c2cccc3c2Sc2ccccc2S3)cc1,6.87,1.91,1.25,1.33,558.69,0.17,0.94,O=C([C@@H](NS(c1ccc(c2c3c(Sc(c4S3)cccc4)ccc2)cc1)(=O)=O)Cc5c(c6[nH]c5)cccc6)O,6,27,28,5,43,29,2,3,6,3,38,9,6,1,29,3,6,7,1,1.66,borderline,-,0.63,0.9,NULL,NEGATIVE,NEGATIVE,82,238.81,227.6,158.24,0.21,5.35,5.26,,769.15,718.39,0.15,497.16,-1,473.86,453,390.67,low (<= 5/50%),good,low (<= 5/50%),fair,medium (5-6/50-90%),poor,low (<= 5/50%),fair,low (<= 5/50%),poor,medium (3.7-20),poor,medium (5.6-30.5),poor,low (< 12),fair,low (< 17.8),poor,4.49,0.54,no flag,fair,inactive (<= 5),fair,weak (<= 5),good,2.52,fair,neg,good,low,poor,0.55,poor,1.17,poor,high (> 3),poor,high (>10),poor,high (>3),fair,high (> 10),poor,neg,good,high (>= 2),best,2.56,fair,high (>= 2),good,2.47,good,2.55,good,high  (>= 80),fair,high  (>= 80),good,low (<= 50),good,low (<= 50),best,neg,fair,low (<= 5 ug/ml),poor,
1357,A28B07,A28,B07,7,CSc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)O,27,1,91,,13.75,4.62,3.83,,,0.74,,,,1,1,0,0.66,0.09,0.19,0.2,0.66,0.31,0.3,50.71,335.11,335.76,0,Acidic,-1,1,0,CSc1ccc(-c2ccc(S(=O)(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)[O-])cc2)cc1,4.64,2.6,2,1.76,466.57,0.1,0.96,CSc1ccc(c2ccc(S(N[C@H](C(O)=O)Cc3c(c4[nH]c3)cccc4)(=O)=O)cc2)cc1,6,21,22,4,35,24,3,3,5,3,32,8,6,0,21,3,4,8,1,1.63,low,-,0.52,0.77,NULL,NEGATIVE,NEGATIVE,81.91,210.26,211.77,132.93,0.33,5.1,5.17,,684.04,645.07,0.09,441.91,-1,417.67,385.82,335.11,low (<= 5/50%),fair,low (<= 5/50%),fair,low (<= 5/50%),poor,low (<= 5/50%),good,low (<= 5/50%),fair,low (< 3.7),poor,medium (5.6-30.5),poor,low (< 12),good,low (< 17.8),fair,4.32,0.46,no flag,fair,inactive (<= 5),good,weak (<= 5),good,1.25,fair,neg,fair,med2high,poor,0.38,poor,1.2,poor,high (> 3),poor,medium (4-10),poor,high (>3),poor,medium (4-10),poor,neg,best,high (>= 2),best,2.28,good,high (>= 2),best,2.25,poor,2.29,good,high  (>= 80),good,high  (>= 80),good,low (<= 50),good,low (<= 50),best,neg,fair,high (>= 150 ug/ml),poor,
1358,A28B08,A28,B08,5,OC(=O)[C@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c3ccc(cc3)c4cccc(c4)C(F)(F)F,27,33,97,,13.38,5.02,3.83,,,0.67,,,,1,0.99,0,0.62,0.09,0.18,0.2,0.62,0.27,0.24,50.71,331.83,338.05,0,Acidic,-1,1,0,O=C([O-])[C@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(-c2cccc(C(F)(F)F)c2)cc1,5,2.66,2,1.83,488.48,0.13,0.96,O=C([C@@H](NS(c1ccc(c2cc(C(F)(F)F)ccc2)cc1)(=O)=O)Cc3c(c4[nH]c3)cccc4)O,6,21,22,4,37,24,3,3,4,3,34,10,6,0,21,3,4,8,1,1.65,low,-,0.54,0.83,NULL,NEGATIVE,NEGATIVE,82,181.7,164.5,107.63,0.32,5.16,5.14,,674.9,658.11,0.11,442.73,-1,420.05,382.54,335.79,low (<= 5/50%),good,low (<= 5/50%),fair,medium (5-6/50-90%),poor,low (<= 5/50%),good,low (<= 5/50%),good,low (< 3.7),poor,medium (5.6-30.5),poor,low (< 12),best,low (< 17.8),fair,4.47,0.53,no flag,poor,inactive (<= 5),good,weak (<= 5),good,1.62,fair,neg,good,med2high,poor,0.31,poor,1.17,poor,low (<= 3),poor,no (<= 2),poor,high (>3),poor,no (<= 2),poor,neg,best,high (>= 2),good,2.21,good,high (>= 2),good,2.31,good,2.27,good,high  (>= 80),good,high  (>= 80),good,low (<= 50),good,low (<= 50),best,neg,fair,medium (5 - 150 ug/ml),poor,
1359,A28B09,A28,B09,Not Made,OC(=O)[C@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c3ccc(cc3)c4ccccc4N(=O)=O,27,23,0,,14.41,3.97,3.83,,,0.6,,,,1,0.99,0,0.64,0.06,0.27,0.29,0.64,0.39,0.35,77.61,295.26,285.9,0,Acidic,-1,2,1,O=C([O-])[C@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(-c2ccccc2[N+](=O)[O-])cc1,3.86,2.93,2.03,2.1,465.48,0.16,0.96,O=C([C@@H](NS(c1ccc(c2c([N+]([O-])=O)cccc2)cc1)(=O)=O)Cc3c(c4[nH]c3)cccc4)O,9,21,22,4,36,23,2,3,6,3,33,10,9,0,21,3,4,8,1,1.62,low,charges out of test range,formal charge,-0.17,0.93,NULL,NEGATIVE,NEGATIVE,119.54,254.68,243.39,153.45,0.26,4.75,4.62,,660.76,630.8,0.16,431.71,-1,405.44,372.87,330.3,low (<= 5/50%),good,low (<= 5/50%),fair,low (<= 5/50%),poor,low (<= 5/50%),good,low (<= 5/50%),fair,medium (3.7-20),poor,medium (5.6-30.5),poor,low (< 12),best,low (< 17.8),fair,4.2,0.37,no flag,poor,inactive (<= 5),good,weak (<= 5),good,0.59,fair,neg,fair,low,fair,0.32,poor,1.12,fair,high (> 3),poor,medium (4-10),poor,high (>3),poor,medium (4-10),poor,neg,best,high (>= 2),good,2.23,best,high (>= 2),fair,2.14,fair,2.22,good,high  (>= 80),fair,high  (>= 80),good,low (<= 50),best,low (<= 50),best,neg,fair,high (>= 150 ug/ml),fair
1360,A28B10,A28,B10,Not Assayed,Cc1ccc(cc1N(=O)=O)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)O,27,22,95,,14.11,4.46,3.83,,,0.68,,,,1,0.99,0,0.62,0.09,0.26,0.28,0.62,0.37,0.34,77.51,309.04,301.12,0,Acidic,-1,2,1,Cc1ccc(-c2ccc(S(=O)(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)[O-])cc2)cc1[N+](=O)[O-],4.41,2.59,2,1.75,479.51,0.12,0.96,Cc1c([N+]([O-])=O)cc(c2ccc(S(N[C@H](C(O)=O)Cc3c(c4[nH]c3)cccc4)(=O)=O)cc2)cc1,9,21,22,4,37,24,3,3,6,3,34,10,9,0,21,3,4,8,1,1.64,low,charges out of test range,formal charge,-0.15,0.81,NULL,NEGATIVE,NEGATIVE,120,254.68,258.45,153.45,0.25,5.2,5.1,,680.26,676.77,0.1,453.14,-1,421.11,386.55,346.42,low (<= 5/50%),good,low (<= 5/50%),good,low (<= 5/50%),poor,low (<= 5/50%),good,low (<= 5/50%),fair,low (< 3.7),poor,medium (5.6-30.5),poor,low (< 12),best,low (< 17.8),good,4.15,0.29,no flag,poor,inactive (<= 5),good,weak (<= 5),good,0.89,fair,neg,fair,low,fair,0.34,poor,1.1,poor,low (<= 3),poor,medium (4-10),poor,high (>3),poor,no (<= 2),poor,neg,best,high (>= 2),good,2.21,good,high (>= 2),fair,2.21,good,2.22,fair,high  (>= 80),poor,high  (>= 80),good,low (<= 50),good,low (<= 50),best,neg,fair,high (>= 150 ug/ml),poor
1361,A28B11,A28,B11,6.3,CC(=O)Nc1cccc(c1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)O,27,17,>98,,14.65,3.19,3.83,,,0.69,,,,1,0.99,0,0.62,0.09,0.24,0.25,0.62,0.32,0.3,67.05,326.04,321.29,0,Acidic,-1,1,0,CC(=O)Nc1cccc(-c2ccc(S(=O)(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)[O-])cc2)c1,3.15,3.06,2.67,2.06,477.53,0.12,0.97,CC(Nc1cc(c2ccc(S(N[C@H](C(O)=O)Cc3c(c4[nH]c3)cccc4)(=O)=O)cc2)ccc1)=O,8,21,22,4,37,25,3,4,5,4,34,9,8,0,21,3,4,8,1,1.65,low,-,0.35,0.83,NULL,NEGATIVE,NEGATIVE,106.42,223.63,220.9,136.73,0.31,5.33,5.21,,700.94,679.31,0.11,453.8,-1,427.71,393.08,353.97,low (<= 5/50%),good,low (<= 5/50%),good,low (<= 5/50%),poor,low (<= 5/50%),good,low (<= 5/50%),fair,low (< 3.7),fair,medium (5.6-30.5),poor,low (< 12),best,low (< 17.8),good,4.15,0.3,no flag,poor,inactive (<= 5),fair,weak (<= 5),good,0.35,fair,neg,fair,low,good,0.3,poor,1.06,fair,high (> 3),poor,medium (4-10),poor,high (>3),poor,no (<= 2),poor,neg,best,high (>= 2),fair,2.18,best,high (>= 2),poor,2.09,fair,2.19,good,high  (>= 80),fair,low (< 40),poor,low (<= 50),best,low (<= 50),best,neg,good,high (>= 150 ug/ml),fair,
1362,A28B12,A28,B12,Not Assayed,OC(=O)[C@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c3ccc(cc3)c4cccc(F)c4,27,18,95,,12.97,4.28,3.83,,,0.66,,,,1,0.99,0,0.68,0.06,0.19,0.21,0.68,0.28,0.27,50.71,304.83,304.48,0,Acidic,-1,1,0,O=C([O-])[C@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(-c2cccc(F)c2)cc1,4.24,3.38,2,2.55,438.47,0.13,0.95,O=C([C@@H](NS(c1ccc(c2cc(F)ccc2)cc1)(=O)=O)Cc3c(c4[nH]c3)cccc4)O,6,21,22,4,34,23,2,3,4,3,31,8,6,0,21,3,4,7,1,1.59,low,-,0.5,0.8,NULL,NEGATIVE,NEGATIVE,81.98,181.7,164.33,107.63,0.4,4.79,4.7,,642.98,600.66,0.11,404.84,-1,386.46,355.54,312.81,low (<= 5/50%),fair,low (<= 5/50%),fair,low (<= 5/50%),poor,low (<= 5/50%),good,low (<= 5/50%),fair,low (< 3.7),poor,medium (5.6-30.5),poor,low (< 12),best,low (< 17.8),good,4.24,0.38,no flag,poor,inactive (<= 5),fair,weak (<= 5),poor,1.03,fair,neg,poor,med2high,poor,0.27,poor,1.16,fair,low (<= 3),poor,no (<= 2),poor,high (>3),poor,no (<= 2),poor,neg,best,high (>= 2),good,2.22,good,high (>= 2),good,2.26,poor,2.25,good,high  (>= 80),good,high  (>= 80),good,low (<= 50),good,low (<= 50),best,neg,poor,high (>= 150 ug/ml),fair,
1363,A28B13,A28,B13,4.7,COc1ccccc1c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)O,27,44,96,,14.34,4.06,3.83,,,0.61,,,,1,0.99,0,0.66,0.09,0.22,0.22,0.66,0.28,0.27,55.94,316.49,315.56,0,Acidic,-1,1,0,COc1ccccc1-c1ccc(S(=O)(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)[O-])cc1,4.12,3.1,2,2.26,450.51,0.15,0.97,COc1c(c2ccc(S(N[C@H](C(O)=O)Cc3c(c4[nH]c3)cccc4)(=O)=O)cc2)cccc1,7,21,22,4,35,24,3,3,5,3,32,8,7,0,21,3,4,8,1,1.62,low,-,0.48,0.94,NULL,NEGATIVE,NEGATIVE,89.01,187.73,171.68,116.86,0.37,4.76,4.61,,670.07,623.34,0.17,429.23,-1,404.58,372.43,331.33,low (<= 5/50%),fair,low (<= 5/50%),fair,low (<= 5/50%),poor,low (<= 5/50%),good,low (<= 5/50%),fair,medium (3.7-20),poor,medium (5.6-30.5),poor,low (< 12),good,low (< 17.8),fair,4.23,0.38,no flag,fair,inactive (<= 5),good,weak (<= 5),good,0.66,fair,neg,poor,low,poor,0.3,poor,1.18,fair,high (> 3),poor,medium (4-10),poor,high (>3),poor,medium (4-10),poor,neg,best,high (>= 2),good,2.22,good,high (>= 2),good,2.33,good,2.24,best,high  (>= 80),good,high  (>= 80),good,low (<= 50),good,low (<= 50),best,neg,poor,high (>= 150 ug/ml),fair,
1364,A28B14,A28,B14,4.7,OC(=O)[C@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c3ccc(cc3)c4ccccc4Cl,27,26,96,,12.73,4.74,3.83,,,0.61,,,,1,0.99,0,0.68,0.06,0.19,0.21,0.68,0.28,0.26,50.71,313.4,312.4,0,Acidic,-1,1,0,O=C([O-])[C@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(-c2ccccc2Cl)cc1,4.69,3.03,2,2.2,454.93,0.16,0.97,O=C([C@@H](NS(c1ccc(c2c(Cl)cccc2)cc1)(=O)=O)Cc3c(c4[nH]c3)cccc4)O,6,21,22,4,34,23,2,3,4,3,31,8,6,0,21,3,4,7,1,1.6,low,-,0.52,0.85,NULL,NEGATIVE,NEGATIVE,82.05,181.7,169.22,107.63,0.37,4.67,4.58,,655.29,625.07,0.15,414.57,-1,394.44,364.11,319.67,low (<= 5/50%),good,low (<= 5/50%),fair,low (<= 5/50%),poor,low (<= 5/50%),good,low (<= 5/50%),fair,medium (3.7-20),fair,medium (5.6-30.5),poor,low (< 12),good,low (< 17.8),fair,4.26,0.41,no flag,poor,inactive (<= 5),poor,weak (<= 5),good,1.27,fair,neg,poor,med2high,poor,0.3,poor,1.18,fair,high (> 3),poor,medium (4-10),poor,high (>3),poor,medium (4-10),poor,neg,best,high (>= 2),best,2.29,good,high (>= 2),good,2.24,good,2.34,good,high  (>= 80),good,high  (>= 80),best,low (<= 50),good,low (<= 50),best,neg,poor,high (>= 150 ug/ml),poor,
1365,A28B15,A28,B15,5.4,OC(=O)[C@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c3ccc(cc3)c4ccccc4F,27,20,90,Gen-6,13.08,4.28,3.83,,,0.63,,,,1,0.99,0,0.68,0.06,0.19,0.21,0.68,0.28,0.27,50.71,305.08,304.38,0,Acidic,-1,1,0,O=C([O-])[C@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(-c2ccccc2F)cc1,4.24,3.38,2,2.55,438.47,0.15,0.96,O=C([C@@H](NS(c1ccc(c2c(F)cccc2)cc1)(=O)=O)Cc3c(c4[nH]c3)cccc4)O,6,21,22,4,34,23,2,3,4,3,31,8,6,0,21,3,4,7,1,1.59,low,-,0.5,0.84,NULL,NEGATIVE,NEGATIVE,82.05,181.7,169.22,107.63,0.4,4.67,4.53,,642.98,616.39,0.14,404.8,-1,386.42,355.79,314.18,low (<= 5/50%),good,low (<= 5/50%),fair,low (<= 5/50%),poor,low (<= 5/50%),good,low (<= 5/50%),fair,medium (3.7-20),fair,medium (5.6-30.5),poor,low (< 12),good,low (< 17.8),good,4.25,0.39,no flag,poor,inactive (<= 5),fair,weak (<= 5),good,0.92,fair,neg,poor,med2high,poor,0.28,poor,1.19,fair,low (<= 3),poor,medium (4-10),poor,high (>3),poor,medium (4-10),poor,neg,best,high (>= 2),good,2.21,good,high (>= 2),good,2.25,fair,2.24,good,high  (>= 80),good,high  (>= 80),good,low (<= 50),good,low (<= 50),best,neg,poor,high (>= 150 ug/ml),fair,
